iter	MultiClass
1004	0.2629127662
1005	0.2629119061
1006	0.2629109963
1007	0.2629097318
1008	0.262906919
1009	0.2629042104
1010	0.2629012404
1011	0.2628989531
1012	0.2628978353
1013	0.2628963313
1014	0.2628942233
1015	0.262892087
1016	0.2628891567
1017	0.2628884207
1018	0.2628873401
1019	0.262884922
1020	0.2628824053
1021	0.262881439
1022	0.2628795354
1023	0.2628777251
1024	0.2628760584
1025	0.2628734326
1026	0.2628699519
1027	0.2628685227
1028	0.2628677084
1029	0.2628658028
1030	0.2628650036
1031	0.2628640894
1032	0.2628619184
1033	0.2628602437
1034	0.2628593666
1035	0.2628585476
1036	0.2628577677
1037	0.2628563319
1038	0.2628559631
1039	0.2628538325
1040	0.2628521193
1041	0.2628506033
1042	0.2628498661
1043	0.2628477834
1044	0.2628468346
1045	0.2628448077
1046	0.2628437476
1047	0.2628422814
1048	0.2628411303
1049	0.2628397628
1050	0.2628380283
1051	0.2628350413
1052	0.2628334605
1053	0.2628316016
1054	0.2628292356
1055	0.2628279704
1056	0.2628272756
1057	0.2628251089
1058	0.262823028
1059	0.2628219091
1060	0.262821233
1061	0.2628198711
1062	0.2628177956
1063	0.2628169434
1064	0.2628130583
1065	0.262811793
1066	0.262811349
1067	0.2628093507
1068	0.2628074764
1069	0.2628065176
1070	0.2628057812
1071	0.2628045274
1072	0.2628027783
1073	0.2628014932
1074	0.2628000671
1075	0.2627978359
1076	0.2627973722
1077	0.2627945647
1078	0.2627928297
1079	0.2627919219
1080	0.2627905579
1081	0.2627897047
1082	0.2627876969
1083	0.2627870025
1084	0.2627862892
1085	0.2627853657
1086	0.2627839836
1087	0.2627827769
1088	0.2627797748
1089	0.2627791794
1090	0.262776887
1091	0.2627748384
1092	0.2627736661
1093	0.2627706833
1094	0.2627680562
1095	0.2627668288
1096	0.2627658759
1097	0.2627630691
1098	0.2627602785
1099	0.262759448
1100	0.2627586815
1101	0.262756502
1102	0.2627520004
1103	0.2627479958
1104	0.2627475538
1105	0.2627460372
1106	0.2627448098
1107	0.2627439201
1108	0.262742524
1109	0.2627406965
1110	0.2627388006
1111	0.2627376639
1112	0.2627353476
1113	0.2627335213
1114	0.2627299667
1115	0.2627278531
1116	0.2627255139
1117	0.2627227939
1118	0.2627222733
1119	0.262721135
1120	0.2627200573
1121	0.262719395
1122	0.262718453
1123	0.262717111
1124	0.2627149796
1125	0.2627107576
1126	0.2627084065
1127	0.2627074306
1128	0.2627066723
1129	0.2627047168
1130	0.2627043859
1131	0.2627024298
1132	0.262701523
1133	0.2627000509
1134	0.2626983399
1135	0.262697969
1136	0.262696047
1137	0.262695121
1138	0.2626944734
1139	0.2626936175
1140	0.2626923371
1141	0.2626897204
1142	0.2626888007
1143	0.2626864503
1144	0.2626848907
1145	0.2626839656
1146	0.262682802
1147	0.2626817185
1148	0.2626807227
1149	0.2626795445
1150	0.2626787055
1151	0.2626780478
1152	0.2626767486
1153	0.262675819
1154	0.2626748687
1155	0.2626731089
1156	0.2626720623
1157	0.2626703982
1158	0.2626698793
1159	0.2626683004
1160	0.2626656336
1161	0.2626644426
1162	0.2626621885
1163	0.2626611643
1164	0.2626579017
1165	0.2626559148
1166	0.2626548638
1167	0.262654358
1168	0.262653138
1169	0.2626513731
1170	0.2626503575
1171	0.2626487291
1172	0.2626475802
1173	0.2626464593
1174	0.2626455179
1175	0.262643971
1176	0.2626427531
1177	0.2626413308
1178	0.2626398757
1179	0.2626376018
1180	0.2626364973
1181	0.2626351695
1182	0.2626337214
1183	0.2626308133
1184	0.2626284806
1185	0.2626267374
1186	0.2626248301
1187	0.2626230225
1188	0.2626194111
1189	0.2626180777
1190	0.2626160851
1191	0.2626157623
1192	0.2626108822
1193	0.2626089002
1194	0.2626085176
1195	0.2626069362
1196	0.2626053328
1197	0.2626032597
1198	0.2626027198
1199	0.2625993288
